x,y,z
-2.9079809994790935,1.7820130483767358,1.5
-2.9191597212429756,1.7762728976270892,1.5
-2.9303021561549167,1.7704626226649105,1.5
-2.9414078643306647,1.764582452869907,1.5
-2.9524764073358787,1.7586326203811125,1.5
-2.96350734820343,1.7526133600877274,1.5
-2.974500251450664,1.7465249096198405,1.5
-2.9854546830965836,1.740367509339051,1.5
-2.9963702106789816,1.7341414023289803,1.5
-3.0072464032715214,1.7278468343856708,1.5
-3.0180828315007426,1.7214840540078873,1.5
-3.028879067563013,1.7150533123873044,1.5
-3.0396346852414187,1.7085548633985908,1.5
-3.0503492599225916,1.7019889635893835,1.5
-3.0610223686134677,1.6953558721701667,1.5
-3.071653589957993,1.6886558510040304,1.5
-3.0822425042537516,1.6818891645963383,1.5
-3.0927886934685382,1.6750560800842835,1.5
-3.1032917412568604,1.6681568672263423,1.5
-3.113751232976376,1.6611917983916253,1.5
-3.1241667557042616,1.6541611485491234,1.5
-3.1345378982535124,1.6470651952568551,1.5
-3.144864251189182,1.6399042186509043,1.5
-3.155145406844535,1.632678501434368,1.5
-3.165380959337152,1.6253883288661881,1.5
-3.175570504584946,1.618033988749895,1.5
-3.1857136403221187,1.610615771422244,1.5
-3.195809966115037,1.6031339697417537,1.5
-3.2058590833780496,1.595588879077142,1.5
-3.215860595389211,1.5879807972956705,1.5
-3.2258141073059523,1.580310024751381,1.5
-3.2357192261806693,1.5725768642732376,1.5
-3.2455755609762247,1.5647816211531764,1.5
-3.255382722581401,1.556924603134047,1.5
-3.265140323826249,1.5490061203974677,1.5
-3.2748479794973795,1.5410264855515785,1.5
-3.284505306353168,1.5329860136187001,1.5
-3.294111923138889,1.5248850220228956,1.5
-3.3036674506017576,1.5167238305774435,1.5
-3.313171511505913,1.508502761472208,1.5
-3.322623730647304,1.5002221392609187,1.5
-3.3320237348685033,1.4918822908483644,1.5
-3.34137115307344,1.4834835454774786,1.5
-3.3506656162420487,1.4750262347163479,1.5
-3.3599067574448385,1.46651069244512,1.5
-3.3690942118573766,1.4579372548428235,1.5
-3.378227616774697,1.4493062603740932,1.5
-3.3873066116256094,1.440618049775814,1.5
-3.396330837986945,1.4318729660436627,1.5
-3.4052999395976986,1.4230713544185702,1.5
-3.414213562373095,1.4142135623730951,1.5
-3.4230713544185707,1.4052999395976984,1.5
-3.431872966043662,1.3963308379869452,1.5
-3.440618049775814,1.3873066116256099,1.5
-3.449306260374093,1.3782276167746974,1.5
-3.4579372548428235,1.369094211857377,1.5
-3.4665106924451194,1.3599067574448387,1.5
-3.4750262347163474,1.3506656162420492,1.5
-3.4834835454774784,1.3413711530734402,1.5
-3.4918822908483644,1.3320237348685033,1.5
-3.500222139260919,1.3226237306473037,1.5
-3.508502761472208,1.3131715115059128,1.5
-3.516723830577444,1.3036674506017574,1.5
-3.5248850220228953,1.2941119231388891,1.5
-3.5329860136187,1.2845053063531684,1.5
-3.541026485551578,1.2748479794973797,1.5
-3.5490061203974674,1.265140323826249,1.5
-3.5569246031340467,1.2553827225814012,1.5
-3.564781621153176,1.2455755609762251,1.5
-3.5725768642732376,1.2357192261806693,1.5
-3.580310024751381,1.2258141073059527,1.5
-3.5879807972956708,1.2158605953892105,1.5
-3.595588879077142,1.2058590833780498,1.5
-3.6031339697417533,1.1958099661150374,1.5
-3.6106157714222435,1.1857136403221187,1.5
-3.618033988749895,1.1755705045849465,1.5
-3.6253883288661877,1.1653809593371522,1.5
-3.632678501434368,1.1551454068445353,1.5
-3.639904218650904,1.1448642511891824,1.5
-3.6470651952568547,1.1345378982535128,1.5
-3.6541611485491234,1.1241667557042616,1.5
-3.6611917983916253,1.1137512329763763,1.5
-3.668156867226343,1.10329174125686,1.5
-3.6750560800842833,1.0927886934685385,1.5
-3.6818891645963383,1.0822425042537518,1.5
-3.68865585100403,1.0716535899579933,1.5
-3.6953558721701665,1.061022368613468,1.5
-3.7019889635893835,1.050349259922592,1.5
-3.7085548633985903,1.0396346852414187,1.5
-3.715053312387304,1.0288790675630133,1.5
-3.7214840540078873,1.0180828315007429,1.5
-3.727846834385671,1.0072464032715212,1.5
-3.73414140232898,0.9963702106789818,1.5
-3.7403675093390514,0.9854546830965831,1.5
-3.7465249096198403,0.9745002514506645,1.5
-3.752613360087727,0.9635073482034304,1.5
-3.7586326203811122,0.9524764073358788,1.5
-3.764582452869907,0.9414078643306648,1.5
-3.77046262266491,0.9303021561549171,1.5
-3.7762728976270887,0.919159721242976,1.5
-3.7820130483767356,0.9079809994790937,1.5
-3.7876828483025275,0.8967664321800646,1.5
-3.793282073570472,0.8855164620778031,1.5
-3.798810503132742,0.8742315333018658,1.5
