time_s,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg
8.407023,5.1942086,3.2642007,1.2313154,1.1372455,1.029828,-0.22339591,-0.7335870401612743,-0.4007306802811811,-69.18847725600453
8.506097,5.3039637,3.388761,1.2341049,1.1557684,1.0169662,-0.21877557,-0.6775810176555499,-0.1202490211575561,-68.94500224722199
8.605355,5.4145956,3.5103807,1.238422,1.1811881,0.96586883,-0.15998252,-0.8572549636794797,0.21880317657281745,-68.61435199285461
8.70406,5.528287,3.631549,1.2419949,1.1600695,0.9838007,-0.2109093,-1.1056595617090783,-0.16303766267696584,-68.3012379710155
8.803083,5.6419563,3.7481575,1.2420671,1.1326364,0.9728715,-0.22324383,-2.001302007063031,-0.2366187151316102,-68.14629542745055
8.902342,5.755956,3.8607228,1.2411324,1.1746354,0.92508966,-0.24237758,-2.861718608888759,-0.6333138329132098,-68.04731173790857
9.010178,5.8808956,3.9831638,1.2368345,1.1877522,0.87547845,-0.25687242,-2.2973496954192143,-0.3754554235609372,-68.14148659427609
9.10017,5.9847198,4.0837274,1.2327176,1.1493042,0.84367216,-0.25828767,-2.075577466558342,-0.17594743370128196,-68.24598095001171
9.208373,6.109136,4.201587,1.2313077,1.1085552,0.84729946,-0.21536131,-2.031778338422604,0.0070473070376727105,-68.34968698165083
9.307165,6.22106,4.3039804,1.2271285,1.0711625,0.8045411,-0.25528806,-2.6115671999355863,-0.06586415138572894,-68.54382102947564
9.406148,6.326237,4.4025574,1.2223071,1.0520221,0.78437805,-0.25377387,-2.1739551707015603,0.010122468233485251,-68.78047303097242
9.505463,6.429853,4.50269,1.2207934,0.99266523,0.7835586,-0.23647134,-1.7395109783596205,0.36579795895194234,-68.88616962459307
9.604222,6.531754,4.5994654,1.222252,0.97232914,0.7854923,-0.24763255,-1.0167733379279438,0.003147210481018407,-69.06217433521299
9.703165,6.6304994,4.6963468,1.2224787,0.9619413,0.78663933,-0.2526446,-1.5203541350457803,0.5622133350663348,-69.19463367950901
9.802523,6.7286034,4.789046,1.2201097,0.9553139,0.79305893,-0.27234843,-0.9238517151897527,0.38994012258743777,-69.31643167803001
9.910323,6.8384166,4.8885207,1.2161477,0.9758407,0.75516564,-0.28940427,-1.1834881756082682,0.606384834476638,-69.35357051033029
10.000282,6.930162,4.9735427,1.2153764,0.9902311,0.7777539,-0.23283575,-1.2428820487657102,0.2253720435759466,-69.45969772729389
10.108254,7.038419,5.073048,1.2159443,1.011871,0.7536603,-0.24026917,-1.2663384849733972,0.5849934830793361,-69.7037828616668
10.207301,7.1368623,5.1623225,1.2175419,1.0020013,0.73934776,-0.22483926,-0.46516180181944156,0.8243938339660335,-69.89327117117523
10.306313,7.235991,5.2515774,1.215894,0.9663108,0.74276197,-0.21972643,-0.28631565851096974,1.0862746154164238,-70.0643658264046
10.405337,7.3384156,5.3407516,1.2164971,0.9658281,0.73805696,-0.2257248,-0.6714161800564269,0.8433792800085289,-70.22894004322548
10.504313,7.4425125,5.4335065,1.2221302,0.99727845,0.76663065,-0.2402338,-1.020404282320875,1.2355684879639242,-70.52179815463874
10.603404,7.547355,5.5259833,1.2245042,0.9523656,0.76264405,-0.2612152,-1.3539670900191925,0.18482728487892833,-70.88688808674493
10.702599,7.6505575,5.6192675,1.2271394,0.9930839,0.7535923,-0.28160635,-1.1510729498381536,0.5027246481240588,-71.32127183751882
10.801345,7.7533374,5.7102604,1.226524,0.94188994,0.7868001,-0.30501592,-1.5255331813937152,0.46589536088571937,-71.63685784916558
10.900477,7.852085,5.799275,1.2242538,0.8983597,0.75784206,-0.31788996,-2.4461270725133684,0.422007114752221,-72.00182501173947
11.008391,7.9619417,5.8967123,1.2231206,0.9522226,0.732344,-0.25603265,-1.7204530155111757,0.17167048750602235,-72.29768482971487
11.107425,8.060476,5.9856567,1.2220008,0.9233423,0.7185878,-0.25078303,-1.200640823630258,0.8995868399272532,-72.55948400013666
11.206409,8.155571,6.074149,1.2230045,0.90092623,0.7152676,-0.21782775,-0.8187542564789084,1.6635434721836726,-72.72448949838207
11.305441,8.250608,6.16146,1.2204427,0.89167285,0.7478211,-0.2486069,-0.37533601027835806,1.4622519355276475,-72.7982665438106
11.404425,8.346526,6.2515864,1.2184812,0.8657466,0.78277487,-0.27470925,-1.285882028275288,1.2460950318842112,-72.83169742416298
11.503466,8.442665,6.3417726,1.2213925,0.85476065,0.7876255,-0.29865575,-0.4633890163185996,0.7682163578523847,-72.91767888758325
11.602485,8.538942,6.433398,1.219249,0.8777666,0.78141874,-0.31720763,-0.43844798917490574,0.6281105893307085,-72.98962615410144
11.701497,8.638617,6.524629,1.216405,0.93202746,0.7839021,-0.28092253,-0.3399505493757445,0.6391130921716884,-72.93510248978872
11.80947,8.749187,6.623147,1.2150917,0.907244,0.7752984,-0.2584657,-0.7076197008034951,1.2515488690010226,-72.90647654315282
11.908509,8.85056,6.715054,1.2137465,0.93886346,0.79163027,-0.25027016,-0.5744856522862467,1.2901357361480659,-72.84058422724415
